Underlying_Price,Option_Price,Moneyness,Intrinsic_Value,Time_Value,Delta,Gamma,Theta,Vega,Rho
319.592,0.045155608620298215,0.7181842696629213,0.0,0.045155608620298215,0.003921339137196987,0.00030193027271387454,-0.009121030215315507,0.009734297321665761,0.0008274472663799735
331.006,0.11530479008008143,0.7438337078651684,0.0,0.11530479008008143,0.008946630665508885,0.0006056762670318066,-0.01965755987388474,0.020946836237887907,0.0019493723561557206
342.41999999999996,0.2663856455972633,0.7694831460674156,0.0,0.2663856455972633,0.01845604916857113,0.001094986527932735,-0.038099016230676866,0.040525946845470846,0.004146119664866344
353.834,0.562493507126069,0.7951325842696629,0.0,0.562493507126069,0.034772100864726964,0.0018009436520816464,-0.06704610156569152,0.07117138177281104,0.00804182056866009
365.248,1.0955392027521569,0.8207820224719101,0.0,1.0955392027521569,0.060375013974132107,0.002717336708992292,-0.10805009780084703,0.11442615308344319,0.014353639658405234
376.662,1.9843138546462598,0.8464314606741572,0.0,1.9843138546462598,0.0974017865700525,0.0037894022015584347,-0.16069026487453045,0.16969946297744798,0.02376934101260469
388.076,3.3673844952718355,0.8720808988764045,0.0,3.3673844952718355,0.14709314569825632,0.004916655200304155,-0.22204868839472217,0.2337273160382855,0.03679173637994841
399.49,5.390199992282248,0.8977303370786517,0.0,5.390199992282248,0.20936090648048156,0.005970751859213078,-0.2868742391095046,0.3007786435106172,0.05359410173808584
410.904,8.188674417570311,0.9233797752808989,0.0,8.188674417570311,0.2826218542010942,0.006822997949568322,-0.3484670766376839,0.3636320274773698,0.07393272326101102
422.318,11.872729777896723,0.9490292134831461,0.0,11.872729777896723,0.36395765205900915,0.007372344356060018,-0.4000290011867975,0.4150409474514186,0.09714598487969855
433.73199999999997,16.513348285600415,0.9746786516853931,0.0,16.513348285600415,0.44955402230860386,0.007565111430696632,-0.436054063357505,0.44922550722373644,0.1222415184372294
445.146,22.135649812577554,1.0003280898876405,0.146000000000015,21.98964981257754,0.5352920611094472,0.007401524733834387,-0.45334699303545817,0.46294808710900365,0.14804621234386878
456.56,28.71884797092855,1.0259775280898877,11.560000000000002,17.158847970928548,0.6173372299384957,0.0069291824274523425,-0.45142440320149785,0.4559149811116899,0.17337851899300755
467.974,36.20227939513313,1.0516269662921347,22.97399999999999,13.228279395133143,0.6925973804207918,0.006227534343664206,-0.4322809339904188,0.4304926389808852,0.1972022514451414
479.38800000000003,44.4955477186154,1.0772764044943821,34.388000000000034,10.107547718615365,0.7589795551125265,0.005389108528642444,-0.399690298500212,0.39092855628970896,0.21873297482717016
490.802,53.49039302119343,1.1029258426966293,45.80200000000002,7.688393021193406,0.81543918968304,0.00450262720032224,-0.3583014560301455,0.34236139465880766,0.23748547407782325
502.216,63.072121872126274,1.1285752808988765,57.21600000000001,5.856121872126266,0.8618636541022135,0.0036412026894652953,-0.3127785817313208,0.28988923816833867,0.25326684591539106
513.63,73.12907024881889,1.1542247191011237,68.63,4.499070248818896,0.8988555693293065,0.0028565724135089245,-0.26715422072942785,0.2378768344478921,0.26613021631903616
525.044,83.55933943269883,1.1798741573033706,80.04399999999998,3.515339432698852,0.9274817038928497,0.0021786026621593005,-0.22446423500802817,0.18957260522464786,0.27630778377124554
536.4580000000001,94.2747215901569,1.2055235955056183,91.45800000000008,2.816721590156817,0.949038478237339,0.0016183827319048987,-0.18664788508895042,0.14701404830981743,0.28414011121102023
547.8720000000001,105.20219799309763,1.2311730337078652,102.87200000000007,2.3301979930975563,0.964864464867941,0.0011730782833185237,-0.1546450129770668,0.11114536459863505,0.2900137165089253
559.2860000000001,116.2836258637866,1.2568224719101124,114.28600000000006,1.9976258637865385,0.9762109820470684,0.0008310512491574561,-0.1286058395756306,0.08205439577369449,0.29431336263108915
570.7,127.4742705120376,1.2824719101123596,125.70000000000005,1.7742705120375604,0.9841678418025431,0.0005762912993994711,-0.10813789631104626,0.05924667151197889,0.29739062794840665
582.114,138.74075543850336,1.3081213483146068,137.11400000000003,1.6267554385033236,0.9896334646697407,0.00039172291446201073,-0.09253651349353494,0.04189876426559926,0.29954708165360144
593.528,150.05886079732193,1.333770786516854,148.52800000000002,1.5308607973219068,0.9933159531758374,0.00026133825383937753,-0.08096949025468511,0.029059728830145105,0.3010287467528948
