Underlying_Price,Option_Price,Moneyness,Intrinsic_Value,Delta,Gamma,Theta,Vega,Rho
122.49999999999999,1.2333113663526621e-05,0.6805555555555555,0.0,5.705107730327349e-06,2.4894001625323164e-06,-4.690245670557797e-06,9.211206868520685e-06,5.642815753163618e-07
130.0,0.00028699889838339557,0.7222222222222222,0.0,0.00010880158133648487,3.83228468165618e-05,-8.15564364503738e-05,0.00015969602741915207,1.1389484938651756e-05
137.5,0.003759512261122644,0.7638888888888888,0.0,0.001161452745898421,0.00032659570875783617,-0.0007804899072743118,0.0015225287963924812,0.00012817006052047417
145.0,0.0303744439075726,0.8055555555555556,0.0,0.007591157382887283,0.0016783516315915928,-0.004482454491471492,0.008700988698299156,0.0008797342821460961
152.5,0.1634946052888413,0.8472222222222222,0.0,0.03276352061729338,0.005579761989600184,-0.016594185459388892,0.031996686518787766,0.0039722813333000545
160.0,0.626453487661891,0.8888888888888888,0.0,0.09966790131226111,0.01272220215517945,-0.04204217908293211,0.08030672264529713,0.012592118401890317
167.5,1.8104643180480409,0.9305555555555556,0.0,0.22637973212581014,0.020890383715896816,-0.07671131123944379,0.14451924529211424,0.02967792395591109
175.0,4.153553248810482,0.9722222222222222,0.0,0.4045709809545647,0.025743558533635684,-0.10541624159722573,0.19439913207762557,0.054777837056086305
182.5,7.915809584559099,1.0138888888888888,2.5,0.5973063940299099,0.02465642541285755,-0.11370891898761612,0.20249089370309264,0.0830898142404653
190.0,13.042627626361963,1.0555555555555556,10.0,0.762584977592476,0.018911280422841813,-0.10042344756749562,0.16833630162688504,0.10836864502702066
197.5,19.22760805945458,1.0972222222222223,17.5,0.8779445112963704,0.011918038946943234,-0.07632054734742531,0.11462745370048881,0.12671213664787281
205.0,26.089961953786997,1.1388888888888888,25.0,0.9449923281020852,0.006309958585177869,-0.05336007224168717,0.06538586536654518,0.13778093038943054
212.5,33.317661623469206,1.1805555555555556,32.5,0.9780949215277224,0.0028612706510827137,-0.03744638162126206,0.03185858289155025,0.14344726783657957
220.0,40.714406568045774,1.2222222222222223,40.0,0.9922224163368811,0.0011300647557087368,-0.028635985381114226,0.013486471440732211,0.14595166440498747
227.5,48.17932768895065,1.2638888888888888,47.5,0.9975148646724823,0.0003945052861693465,-0.024555626906466746,0.005034603505636168,0.14692216769099103
